姓名:student1, 國文:96, 英文:84, 數學:63, 歷史:95, 健康:68
姓名:student2, 國文:79, 英文:93, 數學:80, 歷史:66, 健康:57
姓名:student3, 國文:58, 英文:91, 數學:58, 歷史:96, 健康:61
姓名:student4, 國文:71, 英文:98, 數學:54, 歷史:54, 健康:64
姓名:student5, 國文:52, 英文:81, 數學:72, 歷史:75, 健康:96
姓名:student6, 國文:96, 英文:84, 數學:66, 歷史:67, 健康:76
姓名:student7, 國文:84, 英文:80, 數學:68, 歷史:66, 健康:91
姓名:student8, 國文:88, 英文:60, 數學:97, 歷史:75, 健康:70
姓名:student9, 國文:53, 英文:88, 數學:77, 歷史:90, 健康:85
姓名:student10, 國文:61, 英文:55, 數學:60, 歷史:93, 健康:100
姓名:student11, 國文:72, 英文:79, 數學:61, 歷史:50, 健康:77
姓名:student12, 國文:69, 英文:56, 數學:50, 歷史:57, 健康:60
姓名:student13, 國文:60, 英文:92, 數學:78, 歷史:77, 健康:64
姓名:student14, 國文:74, 英文:85, 數學:94, 歷史:63, 健康:70
姓名:student15, 國文:55, 英文:51, 數學:79, 歷史:90, 健康:71
姓名:student16, 國文:97, 英文:97, 數學:86, 歷史:100, 健康:86
姓名:student17, 國文:92, 英文:69, 數學:92, 歷史:70, 健康:66
姓名:student18, 國文:78, 英文:61, 數學:89, 歷史:57, 健康:70
姓名:student19, 國文:93, 英文:60, 數學:55, 歷史:55, 健康:67
姓名:student20, 國文:97, 英文:63, 數學:91, 歷史:94, 健康:51
姓名:student21, 國文:72, 英文:63, 數學:94, 歷史:93, 健康:89
姓名:student22, 國文:78, 英文:82, 數學:61, 歷史:91, 健康:96
姓名:student23, 國文:59, 英文:54, 數學:92, 歷史:87, 健康:84
姓名:student24, 國文:94, 英文:73, 數學:68, 歷史:80, 健康:88
姓名:student25, 國文:58, 英文:58, 數學:73, 歷史:64, 健康:81
姓名:student26, 國文:90, 英文:82, 數學:74, 歷史:77, 健康:94
姓名:student27, 國文:79, 英文:95, 數學:63, 歷史:57, 健康:95
姓名:student28, 國文:70, 英文:74, 數學:78, 歷史:94, 健康:74
姓名:student29, 國文:58, 英文:87, 數學:76, 歷史:75, 健康:85
姓名:student30, 國文:96, 英文:52, 數學:82, 歷史:50, 健康:74
姓名:student31, 國文:77, 英文:80, 數學:65, 歷史:80, 健康:90
姓名:student32, 國文:84, 英文:76, 數學:89, 歷史:83, 健康:66
姓名:student33, 國文:60, 英文:58, 數學:86, 歷史:57, 健康:78
姓名:student34, 國文:77, 英文:65, 數學:85, 歷史:58, 健康:59
姓名:student35, 國文:54, 英文:58, 數學:74, 歷史:62, 健康:80
姓名:student36, 國文:55, 英文:98, 數學:82, 歷史:57, 健康:50
姓名:student37, 國文:96, 英文:84, 數學:72, 歷史:68, 健康:96
姓名:student38, 國文:87, 英文:85, 數學:92, 歷史:69, 健康:93
姓名:student39, 國文:64, 英文:84, 數學:54, 歷史:99, 健康:76
姓名:student40, 國文:61, 英文:58, 數學:92, 歷史:53, 健康:100
姓名:student41, 國文:58, 英文:89, 數學:96, 歷史:75, 健康:67
姓名:student42, 國文:69, 英文:61, 數學:78, 歷史:100, 健康:81
姓名:student43, 國文:100, 英文:83, 數學:79, 歷史:98, 健康:78
姓名:student44, 國文:55, 英文:61, 數學:82, 歷史:65, 健康:86
姓名:student45, 國文:52, 英文:78, 數學:82, 歷史:87, 健康:51
姓名:student46, 國文:81, 英文:61, 數學:79, 歷史:97, 健康:80
姓名:student47, 國文:50, 英文:78, 數學:52, 歷史:83, 健康:87
姓名:student48, 國文:87, 英文:99, 數學:94, 歷史:60, 健康:63
姓名:student49, 國文:56, 英文:87, 數學:51, 歷史:72, 健康:95
姓名:student50, 國文:99, 英文:81, 數學:84, 歷史:82, 健康:91
