姓名:student1, 國文:77, 英文:91, 數學:88, 歷史:52, 健康:68
姓名:student2, 國文:69, 英文:89, 數學:68, 歷史:68, 健康:95
姓名:student3, 國文:57, 英文:80, 數學:91, 歷史:97, 健康:96
姓名:student4, 國文:77, 英文:68, 數學:76, 歷史:54, 健康:71
姓名:student5, 國文:54, 英文:58, 數學:100, 歷史:82, 健康:58
姓名:student6, 國文:91, 英文:100, 數學:70, 歷史:67, 健康:90
姓名:student7, 國文:66, 英文:98, 數學:70, 歷史:82, 健康:60
姓名:student8, 國文:98, 英文:58, 數學:96, 歷史:75, 健康:82
姓名:student9, 國文:84, 英文:73, 數學:89, 歷史:50, 健康:92
姓名:student10, 國文:74, 英文:68, 數學:91, 歷史:64, 健康:72
姓名:student11, 國文:83, 英文:54, 數學:92, 歷史:70, 健康:67
姓名:student12, 國文:86, 英文:99, 數學:96, 歷史:54, 健康:97
姓名:student13, 國文:87, 英文:50, 數學:81, 歷史:80, 健康:77
姓名:student14, 國文:72, 英文:92, 數學:60, 歷史:74, 健康:90
姓名:student15, 國文:77, 英文:81, 數學:73, 歷史:58, 健康:94
姓名:student16, 國文:62, 英文:72, 數學:97, 歷史:75, 健康:74
姓名:student17, 國文:65, 英文:71, 數學:89, 歷史:60, 健康:76
姓名:student18, 國文:96, 英文:67, 數學:64, 歷史:61, 健康:63
姓名:student19, 國文:54, 英文:74, 數學:92, 歷史:68, 健康:73
姓名:student20, 國文:88, 英文:72, 數學:70, 歷史:58, 健康:78
姓名:student21, 國文:64, 英文:94, 數學:86, 歷史:87, 健康:86
姓名:student22, 國文:68, 英文:93, 數學:89, 歷史:72, 健康:97
姓名:student23, 國文:90, 英文:80, 數學:78, 歷史:95, 健康:78
姓名:student24, 國文:65, 英文:59, 數學:60, 歷史:96, 健康:87
姓名:student25, 國文:70, 英文:75, 數學:100, 歷史:57, 健康:58
姓名:student26, 國文:98, 英文:60, 數學:69, 歷史:88, 健康:93
姓名:student27, 國文:61, 英文:94, 數學:84, 歷史:85, 健康:61
姓名:student28, 國文:81, 英文:61, 數學:65, 歷史:98, 健康:83
姓名:student29, 國文:73, 英文:60, 數學:95, 歷史:85, 健康:76
姓名:student30, 國文:82, 英文:54, 數學:57, 歷史:81, 健康:63
姓名:student31, 國文:82, 英文:50, 數學:95, 歷史:71, 健康:69
姓名:student32, 國文:84, 英文:100, 數學:56, 歷史:87, 健康:95
姓名:student33, 國文:87, 英文:87, 數學:72, 歷史:82, 健康:61
姓名:student34, 國文:82, 英文:72, 數學:67, 歷史:97, 健康:93
姓名:student35, 國文:71, 英文:89, 數學:97, 歷史:81, 健康:68
姓名:student36, 國文:80, 英文:81, 數學:53, 歷史:50, 健康:53
姓名:student37, 國文:88, 英文:57, 數學:98, 歷史:88, 健康:97
姓名:student38, 國文:62, 英文:91, 數學:87, 歷史:57, 健康:100
姓名:student39, 國文:64, 英文:75, 數學:70, 歷史:77, 健康:58
姓名:student40, 國文:63, 英文:71, 數學:93, 歷史:64, 健康:67
姓名:student41, 國文:57, 英文:88, 數學:51, 歷史:77, 健康:57
姓名:student42, 國文:75, 英文:73, 數學:50, 歷史:88, 健康:53
姓名:student43, 國文:56, 英文:66, 數學:90, 歷史:89, 健康:73
姓名:student44, 國文:67, 英文:82, 數學:93, 歷史:76, 健康:72
姓名:student45, 國文:54, 英文:57, 數學:95, 歷史:98, 健康:62
姓名:student46, 國文:84, 英文:89, 數學:77, 歷史:55, 健康:90
姓名:student47, 國文:100, 英文:84, 數學:73, 歷史:57, 健康:100
姓名:student48, 國文:82, 英文:58, 數學:55, 歷史:64, 健康:92
姓名:student49, 國文:99, 英文:72, 數學:69, 歷史:74, 健康:95
姓名:student50, 國文:61, 英文:64, 數學:88, 歷史:69, 健康:58
